date,spx,dax
03/08/2000,1452.560059,7037.910156
04/08/2000,1462.930054,7016.589844
07/08/2000,1479.319946,7113.220215
08/08/2000,1482.800049,7123.810059
09/08/2000,1472.869995,7226.709961
10/08/2000,1460.25,7280.970215
11/08/2000,1471.839966,7322.97998
14/08/2000,1491.560059,7331.669922
15/08/2000,1484.430054,7307.430176
16/08/2000,1479.849976,7315.27002
17/08/2000,1496.069946,7278.430176
18/08/2000,1491.719971,7232.419922
21/08/2000,1499.47998,7199.339844
22/08/2000,1498.130005,7249.200195
23/08/2000,1505.969971,7232.779785
24/08/2000,1508.310059,7230.259766
25/08/2000,1506.449951,7307.169922
28/08/2000,1514.089966,7339.220215
29/08/2000,1509.839966,7294.399902
30/08/2000,1502.589966,7185.560059
31/08/2000,1517.680054,7216.450195
01/09/2000,1520.77002,7344.669922
05/09/2000,1507.079956,7395.069824
06/09/2000,1492.25,7333.02002
07/09/2000,1502.51001,7373.339844
08/09/2000,1494.5,7267.77002
11/09/2000,1489.26001,7214.450195
12/09/2000,1481.98999,7135.75
13/09/2000,1484.910034,7006.259766
14/09/2000,1480.869995,7048.5
15/09/2000,1465.810059,6999.540039
18/09/2000,1444.51001,6891.689941
19/09/2000,1459.900024,6937.740234
20/09/2000,1451.339966,6765.22998
21/09/2000,1449.050049,6682.919922
22/09/2000,1448.719971,6740.25
25/09/2000,1439.030029,6788.689941
26/09/2000,1427.209961,6765.040039
27/09/2000,1426.569946,6814.060059
28/09/2000,1458.290039,6832.759766
29/09/2000,1436.51001,6798.120117
02/10/2000,1436.22998,6862.259766
03/10/2000,1426.459961,null
04/10/2000,1434.319946,6823.430176
05/10/2000,1436.280029,6892.490234
06/10/2000,1408.98999,6776.390137
09/10/2000,1402.030029,6680.779785
10/10/2000,1387.02002,6673.149902
11/10/2000,1364.589966,6561.629883
12/10/2000,1329.780029,6465.259766
13/10/2000,1374.170044,6661.299805
16/10/2000,1374.619995,6627.25
17/10/2000,1349.969971,6531.709961
18/10/2000,1342.130005,6483
19/10/2000,1388.76001,6619.430176
20/10/2000,1396.930054,6618.430176
23/10/2000,1395.780029,6620.870117
24/10/2000,1398.130005,6802.810059
25/10/2000,1364.900024,6748.220215
26/10/2000,1364.439941,6767.899902
27/10/2000,1379.579956,6924.680176
30/10/2000,1398.660034,6926.569824
31/10/2000,1429.400024,7077.439941
01/11/2000,1421.219971,7059.069824
02/11/2000,1428.319946,7088.640137
03/11/2000,1426.689941,7128.27002
06/11/2000,1432.189941,7136.299805
07/11/2000,1431.869995,7076.279785
08/11/2000,1409.280029,7008.640137
09/11/2000,1400.140015,6959.5
10/11/2000,1365.97998,6851.689941
13/11/2000,1351.26001,6742.100098
14/11/2000,1382.949951,6966.649902
15/11/2000,1389.810059,6961.089844
16/11/2000,1372.319946,6842.109863
